,gid,UF,nome,PIB,PIB_percapita
2332,4721.0,SÃO PAULO,Patrocínio Paulista,281122.375,21720.02929688
2345,4426.0,SÃO PAULO,Auriflama,177045.75,12323.94042969
2352,4289.0,SÃO PAULO,Duartina,125832.2890625,9833.71972656
2360,4860.0,SÃO PAULO,Sete Barras,111997.5,8518.21972656
2367,5059.0,SÃO PAULO,Juquitiba,222970.78125,7600.83984375
2392,4821.0,SÃO PAULO,Santa Rosa de Viterbo,425776.84375,17704.56054688
2395,5458.0,SÃO PAULO,Novo Horizonte,781307.5,21540.83007812
2408,4880.0,SÃO PAULO,Tarabai,48350.54296875,7479.97021484
2414,4653.0,SÃO PAULO,Mesópolis,37263.28515625,21088.44921875
2437,5064.0,SÃO PAULO,Nazaré Paulista,159750.53125,10487.8203125
2438,4205.0,SÃO PAULO,Areias,38425.24609375,10413.34960938
2440,4876.0,SÃO PAULO,Taquaral,39134.96484375,13159.03027344
2452,4670.0,SÃO PAULO,Monte Castelo,51065.82421875,12361.61035156
2453,4220.0,SÃO PAULO,Bernardino de Campos,125400.96875,11637.05957031
2480,4199.0,SÃO PAULO,Aramina,72294.453125,13619.91015625
2494,4272.0,SÃO PAULO,Coroados,74791.921875,14246.08007812
2495,4654.0,SÃO PAULO,Miguelópolis,271257.3125,12858.83984375
2499,4641.0,SÃO PAULO,Manduri,81982.7109375,8986.37988281
2511,4309.0,SÃO PAULO,Franca,4220313.0,12752.58007812
2512,5134.0,SÃO PAULO,São José dos Campos,22018042.0,35751.05859375
2520,1137.0,SÃO PAULO,Altinópolis,231399.84375,14877.19042969
2521,496.0,SÃO PAULO,Rincão,84087.890625,7752.89013672
2523,4675.0,SÃO PAULO,Narandiba,241628.390625,57986.171875
2568,4264.0,SÃO PAULO,Cesário Lange,180082.515625,12022.33007812
2572,1680.0,SÃO PAULO,São Caetano do Sul,8920202.0,58649.6484375
2578,497.0,SÃO PAULO,Sales Oliveira,156003.6875,19449.41015625
2585,5135.0,SÃO PAULO,São Roque,1172098.75,17309.2890625
2601,4718.0,SÃO PAULO,Pardinho,121979.5078125,22855.43945312
2608,4764.0,SÃO PAULO,Presidente Prudente,3621430.5,17433.76953125
2621,3769.0,SÃO PAULO,Glicério,50640.265625,11137.0703125
2636,87.0,SÃO PAULO,Cedral,102839.6953125,12453.33984375
2639,4759.0,SÃO PAULO,Pracinha,17830.34375,5451.04003906
2645,4737.0,SÃO PAULO,Piquerobi,37168.44140625,9830.3203125
2669,4769.0,SÃO PAULO,Queiroz,192180.890625,66845.53125
2670,4751.0,SÃO PAULO,Pongaí,42167.82421875,12013.62011719
2674,4237.0,SÃO PAULO,Cachoeira Paulista,347404.46875,10021.48046875
2684,4425.0,SÃO PAULO,Ariranha,757754.875,85371.2109375
2694,4637.0,SÃO PAULO,Macatuba,680519.0625,40174.69140625
2696,4745.0,SÃO PAULO,Piratininga,100781.7109375,8406.1796875
2708,5058.0,SÃO PAULO,Jundiaí,16585137.0,47395.71875
2721,4197.0,SÃO PAULO,Apiaí,263348.40625,10247.01953125
2723,784.0,SÃO PAULO,Serrana,702956.125,17763.08007812
2742,4820.0,SÃO PAULO,Santa Rita do Passa Quatro,355026.28125,12883.33984375
2754,4353.0,SÃO PAULO,Uchoa,132471.234375,13492.69042969
2765,4873.0,SÃO PAULO,Tanabi,296017.5625,12037.63964844
2778,4645.0,SÃO PAULO,Mariápolis,31623.21289062,8116.83984375
2792,4859.0,SÃO PAULO,Serra Negra,314408.0625,12133.69042969
2797,90.0,SÃO PAULO,Mirassol,773413.0625,14082.54003906
2798,4781.0,SÃO PAULO,Ribeirão Corrente,87870.625,20842.1796875
2819,4746.0,SÃO PAULO,Pitangueiras,438054.46875,12360.09960938
2820,5091.0,SÃO PAULO,Suzano,5559876.5,19552.51953125
2825,4263.0,SÃO PAULO,Cerquilho,3092352.25,80953.75
2827,4428.0,SÃO PAULO,Avanhandava,119166.875,9838.74023438
2838,4251.0,SÃO PAULO,Canitar,35199.875,7421.43994141
2840,4854.0,SÃO PAULO,São Sebastião da Grama,152929.140625,11772.83984375
2842,4583.0,SÃO PAULO,Jacupiranga,172416.0625,10563.41992188
2852,1733.0,SÃO PAULO,Jaguariúna,2714575.75,66036.8203125
2860,5060.0,SÃO PAULO,Mairiporã,1029388.125,13004.70996094
2862,3771.0,SÃO PAULO,Guaimbê,41937.18359375,8847.50976562
